batchNum;transSequence;transType;prcHdrNumber;prcHdrName;capChainId;prcBookNumber;prcType;prcSubType;prcHdrFromDate;prcHdrToDate;prc_source;histPrice;prcTrackHist;prcHdrNotes;autoRelease;dateCreated;rejCode;downloadDate1;downloadDate2;batchNumb
2649;1;A;;Precio  Amarillo Neg;1;1;20;;20230524;;1;F;F;;T;20230524;;;;2649
2649;2;A;;Precio  Blanco Neg;1;1;10;;20230524;;1;F;F;;T;20230524;;;;2649
