batchNum;controlNumber;prdLvlNumber;orgLvlNumber;atrTypTechKey;atrTypeDesc;atrHdrTechKey;atrHdrDesc;atrCode;tranType;atrCodeDesc;attCreate;prd_lvl_id;org_lvl_id;dateCreated;downloadDate1;downloadDate2;atrIsValue;errorCode;vendorNumber;altPrdLvlNumber;altPrdLvlId;altOrgLvlNumber;altOrgLvlId;prdRef
2643;1;ZOZTLCRV24-F3QJ;;;COMERCIAL;;CICLO DE VIDA;;A;BASICO;F;1;;20230524;;;F;;;;;;;
2643;2;ZOZTLCRV24-F3QJ;;;COMERCIAL;;MARCA;;A;CORONA;F;1;;20230524;;;F;;;;;;;
2643;3;ZOZTLCRV24-F3QJ;;;COMERCIAL;;FORRO;;A;FABRIC;F;1;;20230524;;;F;;;;;;;
2643;4;ZOZTLCRV24-F3QJ;;;COMERCIAL;;TEMPORADA COMPRA;;A;PV24;F;1;;20230524;;;F;;;;;;;
2643;5;ZOZTLCRV24-F3QJ;;;COMERCIAL;;AFECTO GARANTI;;A;NO;F;1;;20230524;;;F;;;;;;;
2643;6;ZOZTLCRV24-F3QJ;;;COMERCIAL;;PLANTA;;A;PVC;F;1;;20230524;;;F;;;;;;;
2643;7;ZOZTLCRV24-F3QJ;;;COMERCIAL;;TEMPORADA COMERCIAL;;A;TODA TEMPORADA;F;1;;20230524;;;F;;;;;;;
2643;8;ZOZTLCRV24-F3QJ;;;COMERCIAL;;CAPELLADA;;A;PU;F;1;;20230524;;;F;;;;;;;
2643;9;ZOZTLCRV24-F3QJ;;;COMERCIAL;;PROCEDENCIA;;A;IMPORTADO;F;1;;20230524;;;F;;;;;;;
2643;10;ZOZTLCRV24-F3QJ;;;TIPO PRODUCTO;;E-COMMERCE;;A;SI;F;1;;20230524;;;F;;;;;;;
2643;11;ZOZTLCRV24-F3QJ;;;TIPO PRODUCTO;;VENTA VIRTUAL;;A;NO;F;1;;20230524;;;F;;;;;;;
